地区,现存确诊,累计确诊,治愈,死亡
台湾,3908757,3929627,13742,7128
香港,265494,339164,64265,9405
澳门,350,435,83,2
安徽,186,1251,1059,6
广东,92,7485,7385,8
上海,66,63282,62621,595
福建,58,3465,3406,1
天津,34,2016,1979,3
山东,28,2773,2738,7
北京,26,3696,3661,9
江苏,25,2267,2242,0
内蒙古,21,2104,2082,1
重庆,21,745,718,6
陕西,20,3345,3322,3
云南,16,2178,2160,2
四川,15,2379,2361,3
浙江,12,3162,3149,1
江西,8,1393,1384,1
湖北,3,68403,63888,4512
海南,3,291,282,6
吉林,1,40293,40287,5
河南,1,3184,3161,22
辽宁,1,1719,1716,2
甘肃,1,682,679,2
山西,1,424,423,0
黑龙江,0,2988,2975,13
河北,0,2007,2000,7
广西,0,1649,1647,2
湖南,0,1401,1397,4
新疆,0,1008,1005,3
贵州,0,185,183,2
青海,0,147,147,0
宁夏,0,122,122,0
西藏,0,1,1,0
